iter	Passed	Remaining
0	12	125084
1	24	122100
2	36	121670
3	48	121159
4	60	120386
5	72	119990
6	84	120051
7	95	119903
8	108	119924
9	120	119981
10	132	119951
11	143	119794
12	155	119560
13	167	119394
14	179	119290
15	191	119274
16	202	119152
17	214	119097
18	227	119279
19	238	119213
20	250	119199
21	262	119082
22	274	119169
23	286	119206
24	298	119176
25	310	119004
26	322	118939
27	333	118891
28	345	118763
29	357	118660
30	369	118713
31	381	118727
32	392	118682
33	404	118618
34	416	118543
35	428	118558
36	440	118538
37	452	118587
38	464	118620
39	476	118617
40	488	118607
41	500	118649
42	512	118562
43	523	118500
44	535	118504
45	547	118428
46	559	118413
47	570	118354
48	582	118354
49	594	118343
50	606	118273
51	618	118277
52	630	118263
53	642	118253
54	654	118324
55	666	118392
56	678	118387
57	690	118370
58	702	118316
59	713	118267
60	725	118222
61	737	118142
62	748	118106
63	760	118078
64	772	118108
65	784	118038
66	795	117970
67	810	118425
68	822	118370
69	834	118384
70	846	118353
71	858	118339
72	870	118362
73	882	118339
74	894	118329
75	906	118315
76	917	118273
77	929	118243
78	941	118188
79	955	118474
80	968	118615
81	980	118598
82	992	118575
83	1004	118597
84	1016	118571
85	1028	118537
86	1040	118523
87	1052	118505
88	1063	118477
89	1075	118435
90	1087	118397
91	1100	118550
92	1112	118514
93	1124	118488
94	1135	118434
95	1147	118382
96	1159	118362
97	1171	118324
98	1182	118280
99	1194	118250
100	1205	118193
101	1217	118164
102	1229	118124
103	1241	118117
104	1255	118283
105	1266	118233
106	1278	118203
107	1290	118186
108	1302	118170
109	1313	118119
110	1325	118104
111	1337	118074
112	1349	118064
113	1361	118085
114	1373	118070
115	1385	118040
116	1397	118020
117	1411	118179
118	1423	118161
119	1434	118146
120	1446	118117
121	1458	118102
122	1470	118079
123	1482	118036
124	1493	118009
125	1505	117997
126	1517	117984
127	1529	117947
128	1541	117926
129	1552	117880
130	1565	117947
131	1577	117934
132	1589	117896
133	1600	117847
134	1612	117822
135	1623	117777
136	1635	117762
137	1647	117732
138	1659	117709
139	1670	117673
140	1682	117660
141	1694	117622
142	1706	117626
143	1718	117630
144	1730	117610
145	1742	117598
146	1754	117568
147	1765	117544
148	1777	117511
149	1789	117481
150	1800	117440
151	1812	117407
152	1823	117375
153	1835	117344
154	1846	117311
155	1860	117416
156	1872	117388
157	1884	117375
158	1896	117357
159	1907	117339
160	1919	117333
161	1931	117321
162	1943	117293
163	1955	117261
164	1966	117224
165	1978	117197
166	1991	117267
167	2003	117252
168	2020	117540
169	2032	117506
170	2043	117482
171	2055	117473
172	2067	117441
173	2079	117413
174	2091	117406
175	2103	117395
176	2114	117374
177	2127	117372
178	2138	117347
179	2150	117326
180	2162	117319
181	2174	117315
182	2186	117295
183	2198	117275
184	2210	117257
185	2222	117240
186	2234	117275
187	2246	117266
188	2258	117224
189	2269	117192
190	2281	117154
191	2292	117128
192	2304	117115
193	2316	117106
194	2328	117091
195	2341	117100
196	2352	117083
197	2364	117073
198	2376	117048
199	2388	117032
200	2400	117010
201	2412	116997
202	2424	116986
203	2435	116970
204	2448	116967
205	2459	116944
206	2471	116922
207	2483	116912
208	2495	116897
209	2507	116896
210	2519	116891
211	2531	116873
212	2543	116855
213	2555	116843
214	2566	116826
215	2579	116821
216	2590	116798
217	2602	116785
218	2614	116772
219	2626	116746
220	2638	116738
221	2649	116711
222	2661	116696
223	2673	116681
224	2685	116650
225	2696	116636
226	2708	116618
227	2720	116597
228	2732	116580
229	2743	116553
230	2755	116535
231	2767	116509
232	2779	116495
233	2790	116471
234	2802	116444
235	2813	116414
236	2825	116407
237	2837	116382
238	2849	116362
239	2860	116327
240	2872	116300
241	2883	116276
242	2895	116252
243	2907	116234
244	2918	116215
245	2930	116193
246	2942	116177
247	2953	116152
248	2965	116133
249	2977	116107
250	2988	116081
251	3000	116064
252	3012	116051
253	3024	116033
254	3035	116018
255	3047	116001
256	3059	116004
257	3071	115982
258	3083	115961
259	3095	115943
260	3106	115922
261	3118	115905
262	3130	115903
263	3142	115884
264	3154	115866
265	3165	115853
266	3177	115840
267	3189	115825
268	3201	115809
269	3213	115803
270	3225	115792
271	3237	115793
272	3250	115812
273	3262	115804
274	3274	115797
275	3286	115779
276	3297	115763
277	3310	115778
278	3323	115786
279	3335	115773
280	3346	115759
281	3358	115739
282	3370	115725
283	3382	115705
284	3393	115691
285	3405	115668
286	3417	115646
287	3428	115625
288	3440	115618
289	3452	115612
290	3465	115607
291	3476	115590
292	3488	115568
293	3500	115556
294	3512	115539
295	3523	115526
296	3535	115507
297	3547	115497
298	3560	115503
299	3571	115489
300	3583	115472
301	3595	115451
302	3606	115430
303	3618	115413
304	3630	115392
305	3641	115369
306	3653	115352
307	3665	115332
308	3676	115319
309	3688	115306
310	3700	115284
311	3712	115270
312	3724	115261
313	3736	115252
314	3748	115241
315	3759	115221
316	3771	115192
317	3782	115172
318	3794	115161
319	3806	115155
320	3818	115142
321	3830	115123
322	3842	115119
323	3855	115131
324	3867	115137
325	3879	115129
326	3891	115113
327	3903	115101
328	3916	115119
329	3928	115114
330	3940	115098
331	3951	115073
332	3963	115063
333	3975	115049
334	3987	115041
335	3999	115034
336	4011	115025
337	4023	115019
338	4035	115002
339	4047	114988
340	4059	114979
341	4071	114975
342	4083	114960
343	4094	114942
344	4106	114922
345	4118	114902
346	4129	114889
347	4141	114878
348	4153	114864
349	4165	114852
350	4177	114842
351	4189	114834
352	4201	114819
353	4213	114803
354	4224	114785
355	4236	114777
356	4248	114767
357	4260	114753
358	4272	114739
359	4284	114718
360	4296	114711
361	4308	114700
362	4319	114678
363	4331	114666
364	4343	114656
365	4355	114646
366	4367	114626
367	4378	114613
368	4390	114597
369	4402	114578
370	4414	114565
371	4425	114550
372	4437	114531
373	4449	114517
374	4461	114505
375	4472	114487
376	4484	114473
377	4497	114478
378	4508	114461
379	4520	114442
380	4532	114427
381	4544	114410
382	4555	114396
383	4567	114379
384	4579	114362
385	4591	114351
386	4602	114337
387	4614	114316
388	4626	114296
389	4637	114277
390	4649	114256
391	4660	114238
392	4672	114222
393	4684	114209
394	4696	114193
395	4707	114176
396	4719	114161
397	4730	114137
398	4742	114128
399	4754	114111
400	4766	114094
401	4777	114072
402	4789	114061
403	4801	114046
404	4813	114035
405	4824	114014
406	4836	114000
407	4848	113994
408	4860	113978
409	4872	113964
410	4884	113956
411	4896	113940
412	4907	113926
413	4919	113908
414	4931	113898
415	4943	113887
416	4954	113869
417	4966	113858
418	4978	113851
419	4990	113833
420	5002	113825
421	5014	113811
422	5026	113797
423	5037	113774
424	5049	113760
425	5066	113870
426	5078	113858
427	5090	113847
428	5102	113830
429	5113	113812
430	5125	113789
431	5136	113771
432	5148	113753
433	5159	113732
434	5171	113715
435	5182	113692
436	5194	113674
437	5206	113654
438	5217	113636
439	5229	113620
440	5240	113600
441	5252	113587
442	5264	113567
443	5276	113560
444	5288	113556
445	5300	113554
446	5313	113556
447	5325	113547
448	5337	113531
449	5348	113516
450	5360	113504
451	5372	113488
452	5384	113472
453	5395	113449
454	5407	113432
455	5418	113417
456	5430	113399
457	5442	113386
458	5454	113370
459	5466	113369
460	5478	113357
461	5490	113346
462	5501	113330
463	5513	113320
464	5525	113307
465	5537	113287
466	5549	113276
